MODZCTA,positive,total,zcta_cum.perc_pos,total_pop,percent_pos,median_inc,perc_white,perc_black,perc_native,perc_asian,perc_hawaiian,perc_other,perc_two
10001,309,861,35.89,22924,0.013479323,71244.61,0.650270117,0.089896692,0.003554165,0.167709222,0.000236944,0.050374372,0.037958487
10002,870,2033,42.79,74993,0.011601083,30843.9574,0.313303034,0.083970028,0.00459403,0.465716742,0.000393072,0.098231176,0.033791917
10003,396,1228,32.25,54682,0.007241871,89998.5339,0.763851207,0.035288448,0.001802799,0.1443667,0.000428388,0.022418963,0.031843496
10004,27,85,31.76,3028,0.008916777,110183.6857,0.701521528,0.031401748,0.002589835,0.212042732,0.000323729,0.014891551,0.037228877
10005,54,206,26.21,8831,0.006114823,115133.2855,0.700911002,0.033917309,0.001401542,0.207428171,0.000280308,0.022424667,0.033637001
10006,21,91,23.08,3454,0.006079907,111220,0.693457323,0.045499834,0.001328462,0.196280306,0,0.032215211,0.031218864
10007,49,204,24.02,7023,0.006977075,145458.7823,0.755724098,0.067401259,0.000715512,0.125643961,0.000858615,0.012879222,0.036777333
10009,607,1745,34.79,57925,0.010479068,56615.2777,0.620682348,0.098391119,0.004955418,0.136551095,0.000537924,0.096924055,0.041958042
10010,235,886,26.52,33730,0.006967092,93702.0061,0.737984545,0.058962116,0.002167494,0.14405981,0.000471194,0.024470692,0.031884149
10011,460,1288,35.71,50472,0.009113964,92359.4888,0.802643967,0.046053664,0.00215754,0.088596422,0.000470736,0.029342539,0.030735133
10012,142,487,29.16,23411,0.006065525,81316.7066,0.755624741,0.024740556,0.00124533,0.165421337,0.000290577,0.022166874,0.030510585
10013,217,686,31.63,28709,0.007558605,69836.0955,0.556209386,0.037545126,0.001083032,0.361227437,0.000144404,0.01765343,0.026137184
10014,265,764,34.69,30738,0.008621251,98449.9155,0.8790638,0.02065146,0.001689665,0.058637629,0.000312901,0.012297006,0.027347539
10016,604,1915,31.54,51057,0.011829916,96760.4462,0.747780669,0.040160198,0.001679494,0.166066848,0.000479855,0.019987819,0.023845117
10017,125,472,26.48,15801,0.007910892,102523.5025,0.754328808,0.032820513,0.000904977,0.176772247,0.000542986,0.011644042,0.022986425
10018,193,557,34.65,9687,0.019923609,84799.0772,0.569707401,0.075922739,0.0032511,0.256836871,0.000191241,0.062153375,0.031937273
10019,520,1496,34.76,43703,0.011898497,84786.4665,0.693072078,0.055143457,0.002962445,0.16715652,0.000583158,0.04646606,0.034616282
10021,494,1651,29.92,46215,0.01068917,113800.3846,0.879901905,0.018129312,0.001237652,0.072929798,0.000297953,0.009465747,0.018037634
10022,293,1027,28.53,31125,0.009413655,93106.6559,0.86424007,0.018544042,0.000971056,0.089963664,0.000532515,0.009491292,0.016257361
10023,494,1646,30.01,62435,0.007912229,108285.5918,0.815420178,0.046788419,0.002032854,0.089691465,0.000278698,0.022131873,0.023656513
10024,563,1810,31.1,59001,0.009542211,110998.9883,0.829664491,0.057031527,0.002159135,0.054956733,0.000404838,0.028676012,0.027107265
10025,1082,3056,35.41,92805,0.011658855,65001.2415,0.648604651,0.143181818,0.004450317,0.082484144,0.000570825,0.07679704,0.043911205
10026,555,1418,39.14,39363,0.014099535,31541.8106,0.219774726,0.587007029,0.007822839,0.042907979,0.001117548,0.091197835,0.050172044
10027,836,2048,40.82,64548,0.012951602,38550.3989,0.310884821,0.44249418,0.007687541,0.075669519,0.000468957,0.114107224,0.048687759
10028,426,1415,30.11,47793,0.008913439,105456.4514,0.877162668,0.016991205,0.000775348,0.07379101,0.000376598,0.010589043,0.020314127
10029,1524,3417,44.6,79597,0.01914645,32876.522,0.325973975,0.314592845,0.010920622,0.068957804,0.001026275,0.228530453,0.049998026
10030,423,989,42.77,29882,0.014155679,28525.1218,0.109559613,0.718508093,0.009037372,0.015667247,0.000888922,0.106929886,0.039408867
10031,1054,2147,49.09,60254,0.017492615,31526.0287,0.248414189,0.335022503,0.013324356,0.024522485,0.000673305,0.310375988,0.067667175
10032,1219,2588,47.1,64264,0.018968629,29535.9721,0.282656852,0.220857826,0.015715756,0.034658387,0.000697703,0.370759275,0.074654201
10033,1106,2295,48.19,59607,0.018554868,36462.7783,0.42465601,0.09728146,0.013499981,0.023235545,0.000649038,0.368338093,0.072339873
10034,591,1336,44.24,42910,0.013773013,37865.7046,0.3742161,0.128508276,0.015446695,0.022771666,0.000745348,0.384522463,0.073789452
10035,789,1705,46.28,35743,0.022074252,23301.5744,0.250728605,0.435544173,0.012923548,0.031263799,0.00105979,0.215873296,0.052606789
10036,361,1027,35.15,27428,0.013161733,62393.3306,0.636801424,0.093116426,0.003682571,0.17093602,0.000687953,0.058111772,0.036663834
10037,359,870,41.26,21139,0.016982828,40079.7036,0.084118052,0.772335783,0.006603124,0.017168121,0.000287092,0.079007809,0.040480018
10038,214,551,38.84,22800,0.009385965,55937.3774,0.532955665,0.080295567,0.002216749,0.298916256,0.000689655,0.050295567,0.034630542
10039,434,1041,41.69,27726,0.015653178,28691.9104,0.107473397,0.698006279,0.007053451,0.018020956,0.0002854,0.130631549,0.038528968
10040,831,1732,47.98,44571,0.01864441,37107.0105,0.386684167,0.110320964,0.012766973,0.027228254,0.000548861,0.385920535,0.076530247
10044,175,409,42.79,11682,0.014980312,102485.7479,0.510419347,0.21284624,0.002229654,0.18223137,0.004287797,0.041420118,0.046565475
10065,287,1049,27.36,28109,0.010210253,108154.9505,0.860582584,0.01753951,0.000743725,0.089185002,0.000123954,0.012705299,0.019119926
10069,46,161,28.57,5085,0.009046214,54236.0986,0.721292556,0.035776111,0.000577034,0.201577226,0,0.012694749,0.028082324
10075,342,1010,33.86,21556,0.015865652,112267.5519,0.87936909,0.019945638,0.000918801,0.070594541,0.000153133,0.009685694,0.019333104
10128,553,1943,28.46,59256,0.009332388,105186.9788,0.803632574,0.047210229,0.001554927,0.096223512,0.000347377,0.024283328,0.026748052
10280,38,169,22.49,9384,0.004049446,98937.8355,0.69578505,0.029924869,0.001146059,0.223099452,0.000764039,0.013880046,0.035400484
10282,64,166,38.55,5593,0.011442875,#N/A,0.785281204,0.024043487,0.000418148,0.134852603,0.000418148,0.018607568,0.036378842
10301,1008,2430,41.48,38733,0.02602432,56776.4674,0.543922833,0.245857049,0.005842946,0.066765728,0.000755553,0.094217499,0.042638392
10302,559,1248,44.79,18204,0.030707537,59919.3561,0.490727158,0.210079631,0.008120285,0.042644593,0.001414501,0.196615675,0.050398156
10303,759,1771,42.86,25947,0.029251937,54757.9811,0.338611079,0.375213578,0.008960778,0.078938376,0.000417663,0.151725709,0.046132817
10304,1228,2867,42.83,41064,0.029904539,46260.4767,0.478444292,0.28841277,0.006422866,0.095466073,0.00037921,0.09767023,0.03320456
10305,1098,2843,38.62,42298,0.025958674,58937.658,0.762437424,0.04378548,0.002850368,0.109176268,0.00071858,0.056240868,0.024791013
10306,1302,3658,35.59,53142,0.024500395,75212.0632,0.878820941,0.021123612,0.002772362,0.045484627,0.000196748,0.032803305,0.018798405
10307,350,987,35.46,15232,0.022977941,92780.8404,0.934307605,0.006101022,0.001702611,0.024829739,0.000354711,0.019083428,0.013620885
10308,585,1710,34.21,30186,0.019379845,75667.7216,0.935921336,0.005154074,0.001133165,0.029169865,0.000402091,0.015425668,0.0127938
10309,776,2201,35.26,33531,0.023142763,84917.1256,0.910575356,0.023647714,0.000553523,0.038223808,0.000276761,0.015806144,0.010916695
10310,651,1675,38.87,23262,0.027985556,65263.1506,0.541102476,0.232914029,0.006329621,0.055604519,8.01218E-05,0.122906818,0.041062415
10312,1378,3706,37.18,61741,0.022319042,84524.3656,0.908168083,0.009695805,0.001450155,0.05417847,0.000337245,0.013034534,0.013135708
10314,2401,6155,39.01,90761,0.026454094,78413.7436,0.758893697,0.042568121,0.002455853,0.1344755,0.000479476,0.037036604,0.02409075
10451,1407,2934,47.96,47798,0.029436378,22970.4247,0.190274101,0.433705948,0.016100453,0.016187955,0.000831273,0.283048586,0.059851683
10452,1982,4161,47.63,76078,0.02605221,27673.4674,0.191983654,0.360669223,0.016067188,0.014780221,0.000742991,0.353027026,0.062729697
10453,1980,4121,48.05,79606,0.024872497,26324.188,0.173964678,0.383455286,0.017175548,0.013638279,0.001085444,0.348976491,0.061704274
10454,969,2145,45.17,38203,0.0253645,18024.1362,0.239815732,0.316281437,0.023167367,0.005811929,0.000749926,0.354072368,0.06010124
10455,1083,2271,47.69,42283,0.025613131,22828.7877,0.248707929,0.305533846,0.017874701,0.006353208,0.000680701,0.357998235,0.06285138
10456,2114,4623,45.73,94218,0.022437326,21955.2481,0.154020359,0.484049129,0.015078512,0.010341202,0.002715288,0.275480375,0.058315135
10457,1769,3877,45.63,74554,0.023727768,25474.4498,0.202791648,0.382830232,0.016440649,0.016511575,0.001163187,0.319450749,0.060811961
10458,1724,3808,45.27,83960,0.020533587,25642.1721,0.297174558,0.259510391,0.016529965,0.040004026,0.000918331,0.327202737,0.058659991
10459,1279,2622,48.78,48351,0.0264524,22843.1774,0.23287816,0.353745667,0.019151095,0.008328401,0.001056904,0.316542657,0.068297117
10460,1393,2988,46.62,59505,0.023409797,23644.951,0.246811258,0.363978992,0.017186927,0.014587078,0.001012022,0.299628344,0.05679538
10461,1675,3870,43.28,50348,0.033268452,47715.8304,0.591501327,0.085838185,0.006573997,0.105401766,0.000475229,0.171953586,0.038255911
10462,1984,4524,43.85,76756,0.025848142,46085.2485,0.323142088,0.295801225,0.009790985,0.108611316,0.000765333,0.207801119,0.054087934
10463,1594,3866,41.23,71360,0.022337444,52301.5618,0.512888039,0.164778579,0.00812123,0.04401942,0.000500221,0.220185376,0.049507136
10464,114,357,31.93,#N/A,#N/A,1520.168,0.850242611,0.038817821,0.005072783,0.030877812,0.001543891,0.050727834,0.022717247
10465,1344,3507,38.32,44205,0.0304038,61446.3421,0.691996211,0.107411793,0.006346199,0.030783803,0.000615676,0.130215487,0.032630831
10466,2087,4408,47.35,72479,0.028794547,48469.7389,0.10039373,0.727058234,0.008523439,0.022974946,0.000737322,0.105746686,0.034565644
10467,2906,6034,48.16,103732,0.028014499,35375.4334,0.265990109,0.388883165,0.012178034,0.064413765,0.000628477,0.218442201,0.049464249
10468,2120,4154,51.04,78647,0.026955892,28765.1143,0.24779575,0.259175065,0.016819311,0.046529046,0.000683284,0.361273537,0.067724006
10469,2580,5234,49.29,73870,0.034926222,57183.0515,0.226471162,0.590085696,0.00639342,0.041152016,0.000600321,0.103195209,0.032102175
10470,392,913,42.94,15432,0.025401763,53207.5286,0.484600798,0.35813771,0.007846727,0.036160335,0.000261558,0.078859609,0.034133264
10471,526,1356,38.79,#N/A,#N/A,56909.8136,0.728819475,0.106011692,0.003446471,0.059069889,0.000218131,0.069801937,0.032632406
10472,1671,3249,51.43,68796,0.024289203,32631.8405,0.248877302,0.308161789,0.014934145,0.061243558,0.001220652,0.30608216,0.059480394
10473,1683,3734,45.07,59609,0.028233992,36132.1114,0.234231617,0.441207129,0.012235342,0.01660999,0.00111075,0.238127788,0.056477383
10474,282,625,45.12,12127,0.023253896,24244.2862,0.230600114,0.344515919,0.016041039,0.010422604,0.000895693,0.328963439,0.068561192
10475,1517,3695,41.06,43208,0.035109239,47895.0222,0.215533459,0.636046029,0.00520388,0.012875327,0.000439764,0.091690894,0.038210647
11004,504,917,54.96,15234,0.033083891,75303.738,0.499714612,0.063284817,0.003781393,0.364511986,0.000356735,0.028966895,0.039383562
11101,536,1393,38.48,30043,0.017841094,39955.099,0.425364935,0.20793439,0.007024015,0.160218176,0.000706326,0.154803014,0.043949145
11102,520,1183,43.96,30800,0.016883117,48399.4866,0.55737849,0.098057598,0.008847743,0.153019072,0.000585943,0.141065831,0.041045323
11103,458,1127,40.64,36140,0.012672939,52494.8702,0.678829293,0.019082001,0.005673027,0.142341413,0.00051573,0.117173801,0.036384734
11104,411,964,42.63,26119,0.015735671,50944.0617,0.542339894,0.021702409,0.006573149,0.25976792,0.000330494,0.124742949,0.044543184
11105,427,1201,35.55,37382,0.01142261,54570.0826,0.75496075,0.021723724,0.002671173,0.112271042,0.000572394,0.072366986,0.035433929
11106,550,1324,41.54,38363,0.014336731,44030.5142,0.545466238,0.089234727,0.005710611,0.191614148,0.000437299,0.125916399,0.041620579
11109,46,185,24.86,5981,0.007691022,117750,0.666761283,0.044280443,0.001419245,0.217996026,0.001135396,0.027533352,0.040874255
11201,533,1662,32.07,62823,0.008484154,92174.8101,0.671178219,0.151404319,0.003012048,0.098497888,0.000567204,0.037572367,0.037767955
11203,1739,3576,48.63,75451,0.023048071,47788.2901,0.035484549,0.911531494,0.002901252,0.012550214,0.000354452,0.016002836,0.021175204
11204,1682,3644,46.16,76978,0.021850399,42763.549,0.663821128,0.007653518,0.001804592,0.263572836,0.000499142,0.046714618,0.015934164
11205,606,1660,36.51,46064,0.01315561,42903.7942,0.456745776,0.344324431,0.005896051,0.050785314,0.001015706,0.099365803,0.041866918
11206,1299,2994,43.39,88349,0.014703053,26439.5376,0.422811807,0.282919304,0.009011105,0.055364423,0.000636654,0.188461868,0.040794838
11207,1706,3721,45.85,91972,0.018549124,34729.0604,0.113914291,0.668376416,0.009005633,0.011447112,0.001359947,0.1564046,0.039492001
11208,1910,3783,50.49,98660,0.019359416,33875.818,0.156643978,0.477902804,0.011972181,0.083392436,0.001005621,0.219341795,0.049741185
11209,973,2563,37.96,67809,0.014349128,56906.5301,0.770990371,0.021567688,0.002919263,0.115565044,0.000421187,0.057005504,0.031530943
11210,1447,3075,47.06,67040,0.021584129,55000.8962,0.332989292,0.577683525,0.00322539,0.035076119,0.000451555,0.028206038,0.022368082
11211,1735,4047,42.87,102624,0.016906377,37632.4577,0.760500239,0.049890698,0.005770276,0.038228081,0.000599221,0.114029539,0.030981946
11212,1502,3256,46.13,76527,0.01962706,27911.2921,0.045230769,0.85164497,0.005715976,0.007171598,0.000449704,0.062899408,0.026887574
11213,1200,2578,46.55,66295,0.018100913,35084.8797,0.195916383,0.72849593,0.003920523,0.008687879,0.000345006,0.037856572,0.024777706
11214,1288,2799,46.02,92946,0.013857509,35963.5161,0.575550039,0.011463387,0.003170484,0.323332957,0.0007898,0.066399639,0.019293693
11215,529,1602,33.02,70156,0.007540339,81331.0535,0.763986895,0.060672883,0.003685736,0.063634073,0.000488281,0.063728579,0.043803553
11216,607,1542,39.36,56308,0.010779996,37290.3205,0.127402607,0.76483909,0.004436998,0.030083217,0.000423448,0.038441711,0.034372929
11217,476,1122,42.42,41407,0.011495641,72610.5963,0.59368468,0.228561077,0.004514924,0.060867869,0.000362309,0.064686046,0.047323096
11218,1449,3032,47.79,74508,0.019447576,48010.6089,0.573783568,0.099016219,0.006115395,0.186812018,0.000292475,0.094934858,0.039045467
11219,2408,5298,45.45,90036,0.026744858,34969.9857,0.682219885,0.012155583,0.002428948,0.227410243,0.00058555,0.058956203,0.016243589
